State,Year,WetDollars,WetAcres,nWet,DryDollars,DryAcres,nDry
PA,2001,129986,1700.12,57,14721696,216408.04,478
PA,2002,625739,8657.63,155,54954463,613635.76,619
PA,2003,20514682,221234.13,992,111925,813.8,21
PA,2004,10553409,98898.31,839,77650,557.83,14
PA,2005,426305.2,7509,188,11030150.73,136717,531
PA,2006,6227641.64,53338,563,5463885.5,74329,286
PA,2007,419618.65,5455,94,21320519.13,174858,538
PA,2008,7411996.45,23247,306,12737743.42,94242,365
PA,2009,17094354.62,75758,724,804171.05,8163,79
PA,2010,1653080.35,12630,225,17790894.63,124050,373
PA,2011,14673802.54,56446,642,40478017.27,216676,471
PA,2012,1899176.41,16621,205,11706450.66,80698,368
PA,2013,7456850.76,56376.739,423,2270705.82,18613.112,132
PA,2014,13013476.32,101259.067,559,2319872.32,23403.693,122
PA,2015,14978272.85,131639.9275,501,4475289.64,47256.7184,287
PA,2016,1668642.83,7402.597,160,28053280.38,235679.2839,424
PA,2017,7999484.3,76739.4201,596,1592470.98,16050.7828,60
PA,2018,20011027.82,159069.7973,795,381451.85,4236.06,21
